Meter,Depth,Type,Date Start,Date End,Latitude,Longitude,CCE,CCE Mag.,CCE Deg.,Mean Mag. Obs. (m/s),Mean Dir. Obs. (deg.),Mean Mag. Mod. (m/s),Mean Dir. Mod. (deg.),Simple Bias (m/s),Complex Bias,RMSE,CRMSE
NDBC46088,1.6,Tidal,2016-07-01,2016-08-19,48.332,-123.179,(0.86-0.12j),0.87,-7.65,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2016-10-06,2016-11-08,48.332,-123.179,(0.78-0.09j),0.78,-6.72,0.16,223.85,0.26,236.33,0.1,(-0.11-0.03j),0.33,0.31
NDBC46088,1.6,Non-Tidal,2016-10-06,2016-11-08,48.332,-123.179,(0.23+0.05j),0.23,11.36,0.16,223.86,0.26,236.46,0.1,(-0.11-0.03j),0.22,0.19
NDBC46088,1.6,Tidal,2016-10-06,2016-11-08,48.332,-123.179,(0.92-0.12j),0.93,-7.32,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2016-11-08,2016-12-20,48.332,-123.179,(0.81-0.07j),0.82,-4.91,0.13,210.88,0.24,222.48,0.1,(-0.09-0.06j),0.36,0.34
NDBC46088,1.6,Non-Tidal,2016-11-08,2016-12-20,48.332,-123.179,(0.22+0.19j),0.29,40.32,0.13,210.2,0.23,222.42,0.1,(-0.09-0.06j),0.24,0.21
NDBC46088,1.6,Tidal,2016-11-08,2016-12-20,48.332,-123.179,(0.91-0.1j),0.91,-5.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2017-01-13,2017-03-10,48.332,-123.179,(-0.37-0.02j),0.37,-177.6,0.06,229.67,0.21,231.76,0.15,(-0.12-0.09j),0.82,0.81
NDBC46088,1.6,Non-Tidal,2017-01-13,2017-03-10,48.332,-123.179,(0.05+0.02j),0.05,21.32,0.05,229.54,0.21,231.74,0.15,(-0.12-0.09j),0.26,0.21
NDBC46088,1.6,Tidal,2017-01-13,2017-03-10,48.332,-123.179,(-0.43-0.02j),0.43,-177.11,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
NDBC46088,1.6,Total,2017-03-10,2017-05-10,48.332,-123.179,(-0.08+0.07j),0.11,141.76,0.06,192.93,0.2,234.16,0.13,(-0.14-0.05j),0.72,0.7
NDBC46088,1.6,Non-Tidal,2017-03-10,2017-05-10,48.332,-123.179,(0.11-0.03j),0.12,-16.82,0.06,192.76,0.2,234.2,0.13,(-0.15-0.05j),0.27,0.22
NDBC46088,1.6,Tidal,2017-03-10,2017-05-10,48.332,-123.179,(-0.1+0.08j),0.13,141.92,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
